Date,Temperature,Dew_Point,Humidity,Wind_Speed,Pressure,Precipitation,EVI,NDVI,SPI
2017-05-23,28,22,73,31,29.94,2.3,0.3383,0.6351,-0.44826693642653154
2017-05-24,28,22,73,31,29.94,1.7,0.2042,0.422,-0.17940573298170603
2017-05-25,28,22,76,28,29.94,2.8,0.1571,0.3214,0.14079792240890046
2017-05-26,28,23,76,26,29.94,1.1,0.1557,0.305,0.01748422429374011
2017-05-27,28,22,75,26,29.94,1.4,0.1423,0.2929,-0.01624598799914052
2017-05-28,28,22,74,27,29.91,3.3,0.1592,0.3026,0.03925971973410166
2017-05-29,28,22,75,24,29.91,18.0,0.1691,0.3342,1.1047011292843525
2017-05-30,28,22,75,23,29.91,2.2,0.2621,0.4532,1.1388711857305351
2017-05-31,27,22,77,22,29.91,26.0,0.4263,0.701,1.9068293725241654
2017-06-01,27,22,75,26,29.88,4.2,0.4189,0.7359,1.4782074822277478
2017-06-02,27,22,75,26,29.91,0.2,0.6063,0.8192,1.4074837665106998
2017-06-03,28,22,74,27,29.88,0.1,0.4894,0.794,-0.11347052002857963
2017-06-04,28,22,75,24,29.88,0.0,0.2706,0.5222,-1.2789499137472093
2017-06-05,28,23,76,21,29.85,0.0,0.1523,0.3486,-1.5784293141693178
2017-06-06,28,22,73,25,29.91,1.0,0.1368,0.2996,-0.8363336901387889
2017-06-07,28,22,73,33,29.91,0.2,0.1256,0.2773,-0.7647114719720554
2017-06-08,27,21,71,34,29.94,0.7,0.1446,0.2505,-0.5629349852064877
2017-06-09,27,21,73,32,29.94,0.3,0.1485,0.2852,-0.7682475262582634
2017-06-10,27,21,71,33,29.94,0.0,0.1996,0.376,-0.840391973609743
2017-06-11,27,21,74,34,29.91,0.4,0.2437,0.4849,-0.980726287913189
2017-06-12,27,21,73,33,29.94,0.4,0.611,0.8542,-0.9293260230142915
2017-06-13,27,21,72,34,29.94,0.4,0.6094,0.8439,-0.7682475262582608
2017-06-14,27,19,64,37,29.94,0.0,0.5861,0.8032,-0.9293260230142915
2017-06-15,26,19,65,36,29.94,0.0,0.5756,0.7832,-1.174262210393846
2017-06-16,26,20,71,32,29.91,0.5,0.3544,0.6347,-1.0975789770861075
2017-06-17,26,21,74,23,29.88,0.1,0.2149,0.474,-1.0384674402491567
2017-06-18,26,21,77,25,29.91,0.4,0.1878,0.3821,-0.844482808177359
2017-06-19,26,21,75,30,29.97,1.3,0.1808,0.3446,-0.5881575229289225
2017-06-20,26,20,72,36,30.03,1.3,0.1709,0.3137,-0.33681275357342777
2017-06-21,26,20,72,33,30.0,0.1,0.1606,0.3013,-0.39117539057523143
2017-06-22,27,20,72,31,30.0,0.7,0.1567,0.3563,-0.5154304505015456
2017-06-23,26,20,74,32,30.0,0.5,0.2638,0.4764,-0.7338931181548465
2017-06-24,26,21,76,28,30.03,0.8,0.4866,0.7379,-0.5387230416720181
2017-06-25,26,20,75,25,30.03,0.1,0.6698,0.8676,-0.7015802525411152
2017-06-26,26,20,75,27,30.03,0.1,0.6326,0.8766,-0.844482808177359
2017-06-27,27,21,74,32,30.0,0.1,0.522,0.7979,-1.2899682849771301
2017-06-28,27,22,76,28,30.0,0.3,0.2571,0.4923,-1.1118620288116496
2017-06-29,27,22,77,22,30.0,0.9,0.1886,0.3889,-0.7338931181548465
2017-06-30,26,21,77,24,30.0,2.7,0.0606,0.201,-0.19501191611678215
2017-07-01,26,21,77,24,30.0,0.8,0.0687,0.2029,-0.1264846347907922
